충남,아산시,1,0,0,1,22,6,4,0,4,0,0
충남,보령시,1,0,0,1,17,3,2,0,0,0,0
충남,공주시,1,0,0,0,17,5,1,0,2,0,0
충남,서산시,0,0,0,1,19,8,0,0,1,0,0
충남,금산군,0,0,0,0,9,3,1,0,0,0,0
충남,태안군,1,0,0,0,12,6,1,0,4,0,0
충남,논산시,0,0,1,2,18,11,2,0,1,0,0
충남,부여군,1,0,0,2,19,4,4,0,0,0,0
충남,서천군,0,0,0,0,13,7,0,0,0,0,0
충남,청양군,0,0,0,0,11,3,1,0,0,0,0
충남,홍성군,0,0,0,0,14,4,1,0,0,0,0
충남,예산군,0,0,0,0,18,5,1,0,0,0,0
충남,당진시,1,0,0,0,23,5,0,0,0,0,0
충남,계룡시,0,0,0,0,0,0,0,0,0,0,0
전북,전주시,4,0,0,0,29,17,2,0,0,0,1
전북,군산시,1,0,0,0,17,5,4,0,0,0,0
전북,정읍시,0,0,0,4,12,3,4,0,0,0,0
전북,남원시,1,0,0,0,14,6,1,0,1,0,0
전북,김제시,0,0,0,0,19,3,2,0,0,0,0
전북,완주군,0,1,1,1,17,5,3,0,0,0,0
전북,진안군,0,0,0,0,2,0,0,0,0,0,0
전북,무주군,0,0,0,0,3,0,1,0,0,0,0
전북,장수군,0,0,0,0,3,1,0,0,1,0,0
전북,임실군,0,0,0,0,8,3,0,0,0,0,0
전북,순창군,1,0,0,0,7,2,3,0,0,0,0
전북,고창군,0,0,0,0,10,6,3,0,0,0,0
전북,부안군,1,0,0,0,11,2,2,0,1,0,0
전북,익산시,1,0,0,0,20,11,3,0,0,0,0
전남,목포시,1,0,0,0,9,4,3,0,0,0,0
전남,여수시,2,0,1,0,20,5,2,0,0,0,0
전남,순천시,3,1,0,0,16,9,4,0,0,0,0
전남,나주시,1,0,0,0,12,2,2,0,0,0,0
전남,광양시,0,0,0,0,8,3,5,0,0,0,0
전남,담양군,0,0,0,0,8,4,3,0,1,0,0
전남,곡성군,0,0,0,0,6,0,1,0,0,0,0
전남,구례군,0,0,0,0,4,2,0,0,0,0,0
전남,고흥군,0,0,0,0,14,4,0,0,0,0,0
전남,보성군,1,0,1,0,10,2,0,0,0,0,0
전남,화순군,0,0,0,0,3,4,1,0,0,0,1
전남,장흥군,0,0,0,0,7,1,3,0,1,0,0
전남,강진군,0,0,0,1,5,3,0,0,0,0,0
전남,해남군,0,0,0,0,16,4,3,0,1,0,0
전남,영암군,0,0,0,0,13,7,5,0,0,0,0
전남,무안군,0,0,3,0,9,5,0,0,0,0,0
전남,함평군,0,0,0,0,8,3,2,0,0,0,0
전남,영광군,0,0,0,1,8,2,1,0,0,0,0
전남,장성군,0,0,0,0,6,6,0,0,1,0,0
전남,완도군,0,0,0,0,12,0,1,0,0,0,0
전남,진도군,0,0,0,0,6,0,0,0,0,0,0
전남,신안군,0,0,0,0,7,2,0,0,1,0,0
경북,포항시,2,0,0,0,33,7,7,0,0,0,0
경북,경주시,0,0,0,0,45,6,7,0,0,0,0
경북,김천시,1,1,0,1,17,2,1,0,0,0,0
경북,안동시,4,2,0,1,21,5,4,0,1,0,0
경북,구미시,3,0,0,0,23,5,6,0,3,0,0
경북,영주시,0,0,0,0,8,2,1,0,0,0,0
경북,영천시,2,0,0,0,14,4,3,0,0,0,0
경북,문경시,0,0,1,1,13,1,2,0,0,0,0
경북,상주시,0,0,0,0,15,9,1,0,1,0,0
경북,군위군,0,0,0,0,11,3,4,0,0,0,0
경북,의성군,0,0,0,2,14,3,2,0,0,1,0
경북,청송군,0,0,0,0,7,1,0,0,0,0,0
경북,영양군,0,0,0,0,4,1,0,0,0,0,0
경북,영덕군,0,0,0,0,14,3,0,0,0,0,0
경북,청도군,0,0,0,0,15,1,2,0,1,0,0
경북,고령군,0,0,0,0,5,3,0,0,1,0,0
경북,성주군,0,0,0,0,14,1,3,0,7,0,0
경북,칠곡군,0,0,1,0,18,2,2,0,0,0,0
경북,예천군,0,0,0,0,15,3,1,0,0,0,0
경북,봉화군,0,0,0,0,6,0,1,0,0,0,0
경북,울진군,0,0,0,0,7,0,0,0,0,0,0
경북,울릉군,0,0,0,0,0,0,1,0,0,0,0
경북,경산시,1,0,0,0,19,7,2,0,0,0,0
경남,진주시,0,2,0,1,19,4,2,0,1,0,0
경남,통영시,1,0,0,0,6,3,2,0,0,0,0
경남,김해시,1,0,0,0,27,13,3,0,0,0,0
경남,밀양시,0,0,0,1,14,2,1,0,0,0,0
경남,거제시,0,0,0,0,16,5,3,0,2,0,0
경남,의령군,0,0,0,0,4,3,0,0,0,0,0
경남,함안군,0,0,4,0,7,2,8,0,0,0,0
경남,창녕군,0,1,0,1,15,7,0,0,0,0,0
경남,양산시,1,0,0,0,9,5,6,0,1,0,0
경남,고성군,1,1,0,0,10,4,5,0,0,0,0
경남,사천시,0,0,0,0,7,2,2,0,0,0,0
경남,남해군,1,0,0,0,8,1,0,0,0,0,0
경남,하동군,0,1,0,0,7,1,1,0,3,0,0
경남,산청군,0,0,0,0,6,1,0,0,0,0,0
경남,함양군,0,0,0,0,5,1,0,0,1,0,0
경남,거창군,0,0,0,0,9,3,0,0,0,0,0
경남,합천군,0,0,0,2,11,1,0,0,0,0,0
경남,창원시(통합),6,1,0,0,34,16,16,0,2,0,0
제주,제주시,4,0,0,0,28,9,3,0,0,0,0
제주,서귀포시,1,0,0,0,20,9,6,0,0,0,0
